id	Phylum	Class
302530	Acidobacteria	Acidobacteriia
3482976	Acidobacteria	iii1-8
501824	Actinobacteria	Actinobacteria
4414809	Verrucomicrobia	Opitutae
4226721	Proteobacteria	Gammaproteobacteria
605681	Bacteroidetes	Flavobacteriia
4312471	Firmicutes	Clostridia
821570	Gemmatimonadetes	Gemm-1
2963236	Chloroflexi	Chloroflexi
4451128	Proteobacteria	Alphaproteobacteria
81997	Proteobacteria	Betaproteobacteria
152668	Chloroflexi	Thermomicrobia
1143937	Proteobacteria	Deltaproteobacteria
1552835	Cyanobacteria	Synechococcophycideae
451765	Proteobacteria	Alphaproteobacteria
1117094	Bacteroidetes	[Saprospirae]
255389	Acidobacteria	Acidobacteria-6
3538	Cyanobacteria	Chloroplast
2453568	Acidobacteria	[Chloracidobacteria]
242829	Proteobacteria	Alphaproteobacteria
1667535	Actinobacteria	Actinobacteria
1667534	Actinobacteria	Actinobacteria
1667532	Actinobacteria	Actinobacteria
211201	Acidobacteria	Acidobacteriia
222768	Proteobacteria	Alphaproteobacteria
572713	Chlorobi	SJA-28
534454	Proteobacteria	Alphaproteobacteria
518065	Actinobacteria	Actinobacteria
14642	Firmicutes	Bacilli
14643	Firmicutes	Bacilli
1042671	Bacteroidetes	[Saprospirae]
513073	Proteobacteria	Alphaproteobacteria
563918	Firmicutes	Clostridia
280592	Actinobacteria	Actinobacteria
322588	Acidobacteria	Solibacteres
18546	Proteobacteria	Alphaproteobacteria
583206	Chloroflexi	TK17
538728	Actinobacteria	Acidimicrobiia
268617	Bacteroidetes	[Saprospirae]
818179	Acidobacteria	Acidobacteria-6
575206	Acidobacteria	Acidobacteria-6
246200	Chloroflexi	Ktedonobacteria
808692	Acidobacteria	TM1
1096660	Acidobacteria	Solibacteres
4377480	Bacteroidetes	[Saprospirae]
818170	Acidobacteria	EC1113
4320428	Acidobacteria	Solibacteres
818174	Bacteroidetes	[Saprospirae]
4390905	Proteobacteria	Alphaproteobacteria
237058	Acidobacteria	Solibacteres
985056	Proteobacteria	Betaproteobacteria
4328998	Proteobacteria	Betaproteobacteria
917888	Bacteroidetes	Sphingobacteriia
367282	Proteobacteria	Deltaproteobacteria
254127	Proteobacteria	Alphaproteobacteria
254650	Proteobacteria	Alphaproteobacteria
364038	Proteobacteria	Alphaproteobacteria
113334	WS3	PRR-12
4356931	Acidobacteria	Solibacteres
4451561	Verrucomicrobia	Verrucomicrobiae
1106988	Planctomycetes	Phycisphaerae
347553	Firmicutes	Clostridia
895220	Proteobacteria	Betaproteobacteria
4438838	Acidobacteria	RB25
665602	Planctomycetes	Planctomycetia
895223	Acidobacteria	Solibacteres
1144378	Proteobacteria	Alphaproteobacteria
543457	Bacteroidetes	Cytophagia
4434375	Proteobacteria	Betaproteobacteria
382125	Bacteroidetes	Sphingobacteriia
511452	Proteobacteria	Gammaproteobacteria
2881602	Chloroflexi	Anaerolineae
675143	Bacteroidetes	Flavobacteriia
591063	Bacteroidetes	[Saprospirae]
317724	Proteobacteria	Betaproteobacteria
4461434	Chloroflexi	Anaerolineae
161585	Actinobacteria	MB-A2-108
161587	Chloroflexi	Ktedonobacteria
218539	Proteobacteria	Alphaproteobacteria
814244	Proteobacteria	Deltaproteobacteria
137845	Firmicutes	Bacilli
1111790	Verrucomicrobia	[Pedosphaerae]
828254	Proteobacteria	Gammaproteobacteria
4474988	Verrucomicrobia	Opitutae
511514	Gemmatimonadetes	Gemmatimonadetes
3114949	Chloroflexi	Thermomicrobia
820970	Acidobacteria	[Chloracidobacteria]
1064235	Planctomycetes	Planctomycetia
815596	Acidobacteria	Solibacteres
136135	Proteobacteria	Alphaproteobacteria
44246	Proteobacteria	Alphaproteobacteria
4443433	SBR1093	NA
179879	Proteobacteria	Deltaproteobacteria
1110514	Proteobacteria	Deltaproteobacteria
28024	Firmicutes	Bacilli
276657	Firmicutes	Bacilli
417361	Actinobacteria	Actinobacteria
662682	Planctomycetes	Planctomycetia
368348	Proteobacteria	Betaproteobacteria
576874	Proteobacteria	Deltaproteobacteria
4374515	Planctomycetes	Planctomycetia
4091432	Planctomycetes	Planctomycetia
982582	Proteobacteria	Gammaproteobacteria
3632764	Acidobacteria	Solibacteres
336057	Bacteroidetes	Sphingobacteriia
747857	Bacteroidetes	Flavobacteriia
1122588	Actinobacteria	Actinobacteria
751138	Proteobacteria	Gammaproteobacteria
585228	Proteobacteria	Alphaproteobacteria
689621	Bacteroidetes	Sphingobacteriia
585221	Proteobacteria	Betaproteobacteria
1122584	Actinobacteria	Acidimicrobiia
817955	Chloroflexi	Anaerolineae
109907	Bacteroidetes	[Saprospirae]
145905	Bacteroidetes	[Saprospirae]
44910	Planctomycetes	Planctomycetia
896552	Proteobacteria	Deltaproteobacteria
545121	Proteobacteria	Betaproteobacteria
95964	Proteobacteria	Betaproteobacteria
334324	Proteobacteria	Deltaproteobacteria
242437	Actinobacteria	Actinobacteria
219667	Planctomycetes	Planctomycetia
987696	Bacteroidetes	Sphingobacteriia
800795	Firmicutes	Clostridia
144364	Bacteroidetes	[Saprospirae]
1122633	Actinobacteria	Thermoleophilia
566368	Proteobacteria	Alphaproteobacteria
593751	Proteobacteria	Betaproteobacteria
1025876	Firmicutes	Bacilli
653931	Chloroflexi	P2-11E
1108244	Firmicutes	Bacilli
4339774	Acidobacteria	Solibacteres
253907	Proteobacteria	Deltaproteobacteria
867560	Firmicutes	Bacilli
822489	Proteobacteria	Alphaproteobacteria
1108249	Bacteroidetes	Sphingobacteriia
646129	Actinobacteria	Actinobacteria
843189	Acidobacteria	Solibacteres
159560	Bacteroidetes	Sphingobacteriia
1111643	Planctomycetes	Planctomycetia
896338	Proteobacteria	Deltaproteobacteria
1111645	Armatimonadetes	0319-6E2
770004	Acidobacteria	iii1-8
4386271	Chloroflexi	TK10
26459	Bacteroidetes	[Saprospirae]
2232179	Acidobacteria	Solibacteres
712797	Actinobacteria	Actinobacteria
218957	Acidobacteria	iii1-8
212583	Acidobacteria	Acidobacteria-6
842858	Armatimonadetes	0319-6E2
594259	Firmicutes	Clostridia
527397	Proteobacteria	Gammaproteobacteria
357376	Firmicutes	Bacilli
241315	Proteobacteria	Alphaproteobacteria
464059	Actinobacteria	Nitriliruptoria
155467	Proteobacteria	Alphaproteobacteria
209422	Bacteroidetes	[Saprospirae]
750263	Proteobacteria	Alphaproteobacteria
555571	Planctomycetes	Phycisphaerae
912271	Proteobacteria	Deltaproteobacteria
558858	Planctomycetes	Planctomycetia
258212	Actinobacteria	Actinobacteria
542475	Proteobacteria	Alphaproteobacteria
4356486	Proteobacteria	Alphaproteobacteria
817995	Firmicutes	Clostridia
2996642	Acidobacteria	NA
625825	Chlorobi	SJA-28
4327677	Firmicutes	Clostridia
2996648	Proteobacteria	Betaproteobacteria
99384	Proteobacteria	Betaproteobacteria
312923	Elusimicrobia	Elusimicrobia
4450318	Actinobacteria	Actinobacteria
4450314	Bacteroidetes	Cytophagia
4322902	Acidobacteria	Acidobacteria-6
999075	FBP	NA
4479483	Chloroflexi	Ktedonobacteria
145013	Proteobacteria	Deltaproteobacteria
2458157	Bacteroidetes	[Saprospirae]
100933	TM7	SC3
2116816	Proteobacteria	Deltaproteobacteria
516554	Proteobacteria	Gammaproteobacteria
224900	Proteobacteria	Betaproteobacteria
4441383	Bacteroidetes	Sphingobacteriia
4419170	Chloroflexi	Anaerolineae
4302554	Actinobacteria	Thermoleophilia
579497	Planctomycetes	Phycisphaerae
4441385	Verrucomicrobia	Verrucomicrobiae
4302551	Chloroflexi	Chloroflexi
4463996	Actinobacteria	Acidimicrobiia
1033380	Actinobacteria	Actinobacteria
582506	Firmicutes	Bacilli
4294451	Proteobacteria	Deltaproteobacteria
886061	Proteobacteria	Alphaproteobacteria
518302	Proteobacteria	Alphaproteobacteria
4359886	Proteobacteria	Gammaproteobacteria
4359887	Acidobacteria	Acidobacteriia
4298124	Actinobacteria	Thermoleophilia
141868	Bacteroidetes	[Saprospirae]
3110493	BRC1	PRR-11
1059762	Proteobacteria	Gammaproteobacteria
1024056	Proteobacteria	Alphaproteobacteria
1609476	Acidobacteria	Sva0725
227064	Verrucomicrobia	[Spartobacteria]
194730	Acidobacteria	Acidobacteria-6
582813	Actinobacteria	Actinobacteria
330923	Proteobacteria	Betaproteobacteria
753767	Proteobacteria	Alphaproteobacteria
819829	Bacteroidetes	Bacteroidia
4349557	Firmicutes	Bacilli
4365894	Acidobacteria	Acidobacteria-5
211106	Proteobacteria	Alphaproteobacteria
